country,latitude,longitude
United States,39.7837304,-100.445882
India,22.3511148,78.6677428
United Kingdom,54.7023545,-3.2765753
Canada,61.0666922,-107.991707
France,46.603354,1.8883335
Japan,36.5748441,139.2394179
Spain,39.3260685,-4.8379791
South Korea,36.638392,127.6961188
Germany,51.1638175,10.4478313
Mexico,23.6585116,-102.0077097
China,35.0000663,104.999955
Australia,-24.7761086,134.755
Egypt,26.2540493,29.2675469
Turkey,38.9597594,34.9249653
Hong Kong,22.2793278,114.1628131
Nigeria,9.6000359,7.9999721
Italy,42.6384261,12.674297
Brazil,-10.3333333,-53.2
Argentina,-34.9964963,-64.9672817
Belgium,50.6402809,4.6667145
Indonesia,-2.4833826,117.8902853
Taiwan,23.9739374,120.9820179
Philippines,12.7503486,122.7312101
Thailand,14.8971921,100.83273
South Africa,-28.8166236,24.991639
Colombia,4.099917,-72.9088133
Netherlands,52.2434979,5.6343227
Denmark,55.670249,10.3333283
Ireland,52.865196,-7.9794599
Sweden,59.6749712,14.5208584
Singapore,1.357107,103.8194992
Poland,52.215933,19.134422
United Arab Emirates,24.0002488,53.9994829
New Zealand,-41.5000831,172.8344077
Lebanon,33.8750629,35.843409
Norway,61.1529386,8.7876653
Israel,30.8124247,34.8594762
Chile,-31.7613365,-71.3187697
Russia,64.6863136,97.7453061
Malaysia,4.5693754,102.2656823
Pakistan,30.3308401,71.247499
Czech Republic,49.7439047,15.3381061
Switzerland,46.7985624,8.2319736
Romania,45.9852129,24.6859225
Uruguay,-32.8755548,-56.0201525
Saudi Arabia,25.6242618,42.3528328
Austria,47.59397,14.12456
Luxembourg,49.8158683,6.1296751
Iceland,64.9841821,-18.1059013
Finland,63.2467777,25.9209164
Hungary,47.1817585,19.5060937
Greece,38.9953683,21.9877132
Bulgaria,42.6073975,25.4856617
Qatar,25.3336984,51.2295295
Peru,-6.8699697,-75.0458515
Jordan,31.1667049,36.941628
Kuwait,29.2733964,47.4979476
Serbia,44.1534121,20.55144
Vietnam,15.9266657,107.9650855
Portugal,39.6621648,-8.1353519
Kenya,1.4419683,38.4313975
Morocco,31.1728205,-7.3362482
Ghana,8.0300284,-1.0800271
Cambodia,12.5433216,104.8144914
West Germany,50.0980311,8.5463351
Venezuela,8.0018709,-66.1109318
Bangladesh,24.4769288,90.2934413
Iran,32.6475314,54.5643516
Croatia,45.3658443,15.6575209
Syria,34.6401861,39.0494106
Algeria,28.0000272,2.9999825
Slovenia,46.1199444,14.8153333
Ukraine,49.4871968,31.2718321
Soviet Union,44.5666334,27.359793
Zimbabwe,-18.4554963,29.7468414
Malta,35.8885993,14.4476911
Senegal,14.4750607,-14.4529612
Nepal,28.3780464,83.9999901
Guatemala,15.5855545,-90.345759
Georgia,32.3293809,-83.1137366
Cayman Islands,19.7031822,-79.9174627
Mauritius,-20.2759451,57.5703566
"United Kingdom,",54.7023545,-3.2765753
Iraq,33.0955793,44.1749775
Namibia,-23.2335499,17.3231107
Ethiopia,10.2116702,38.6521203
Cameroon,4.6125522,13.1535811
Burkina Faso,12.0753083,-1.6880314
"Cambodia,",12.5433216,104.8144914
Puerto Rico,18.2247706,-66.4858295
Cyprus,34.9823018,33.1451285
Palestine,31.7621153,-95.6307891
Angola,-11.8775768,17.5691241
Mozambique,-19.302233,34.9144977
Albania,41.000028,19.9999619
"United States,",39.7837304,-100.445882
Malawi,-13.2687204,33.9301963
Paraguay,-23.3165935,-58.1693445
Belarus,53.4250605,27.6971358
Slovakia,48.7411522,19.4528646
Ecuador,-1.3397668,-79.3666965
Bermuda,32.3040273,-64.7563086
Mongolia,46.8250388,103.8499736
Bahamas,24.7736546,-78.0000547
Sri Lanka,7.5554942,80.7137847
Latvia,56.8406494,24.7537645
Liechtenstein,47.1416307,9.5531527
Cuba,23.0131338,-80.8328748
Nicaragua,12.6090157,-85.2936911
Armenia,40.7696272,44.6736646
"Poland,",52.215933,19.134422
Dominican Republic,19.0974031,-70.3028026
Samoa,-13.7693895,-172.12005
Azerbaijan,40.3936294,47.7872508
Botswana,-23.1681782,24.5928742
Vatican City,41.903411,12.4528527
Jamaica,18.1850507,-77.3947693
Kazakhstan,48.1012954,66.7780818
Lithuania,55.3500003,23.7499997
Afghanistan,33.7680065,66.2385139
Somalia,8.3676771,49.083416
Sudan,14.5844444,29.4917691
Panama,8.559559,-81.1308434
Uganda,1.5333554,32.2166578
East Germany,54.5077516,9.5482377
Montenegro,42.9868853,19.5180992
